ID,NAME,Train/Test,AlgaeRemoval110kpa,Mor14s-PW5-TIC1
0,v31-151-DPDM-005-047 (10%),Train,62.99805,297.0106506
1,v31-151-PMDM-010-065(10%),Train,65.4552,335.1158752
2,v31-151-PMDM-010-044 (10%),Train,65.52674,309.598053
3,v31-151-PMDM-010-065(5%),Train,69.414,284.0359802
4,v31-151-PMDM-010-044 (5%),Test,70.38085,270.8370972
5,v31-151-PM-100-012 (10%),Train,70.83185,252.7447815
6,v31-151,Train,71.69291,228.6198273
7,v31-151-DPDM-005-047 (5%),Train,73.05174,264.326355
8,v31-151-PM-100-012(5%),Train,75.97122,241.4302216
9,v22-301-DPDM-005-047 (5%),Test,81.13863,-230.3189545
10,v22-301-PMDM-010-044 (5%),Train,81.85893,-223.9529114
11,v22-301-PM-100-012 (5%),Train,86.88113,-252.7062836
12,v22-301-PMDM-010-044 (10%),Train,87.47633,-166.3081818
13,v22-301-PM-100-012 (10%),Train,87.8963,-222.5079651
14,v22-301,Test,88.14097,-290.0736694
15,v22-301-PMDM-010-065 (10%),Train,89.95303,-141.0836639
16,v22-301-DPDM-005-047(10%),Train,91.91157,-178.7509155
17,v22-301-PMDM-010-065 (5%),Train,95.88955,-211.047348
