ID,NAME,Train/Test,AlgaeRemoval110kpa,MWC08_TIC1_PW5,,,,,,,,,,,,,,,,,,
0,v31-151-1021(10%),Train,62.99805,2.107622778,,,,,,,,,,,,,,,,,,
1,v31-151-0421(10%),Train,65.4552,2.125404622,,,,,,,,,,,,,,,,,,
2,v31-151-1015(10%),Train,65.52674,2.114503723,,,,,,,,,,,,,,,,,,
3,v31-151-0421(5%),Train,69.414,2.231326995,,,,,,,,,,,,,,,,,,
4,v31-151-1015(5%),Test,70.38085,2.225688599,,,,,,,,,,,,,,,,,,
5,v31-151-0025(10%),Train,70.83185,2.082697558,,,,,,,,,,,,,,,,,,
6,v31-151-,Train,71.69291,2.339563564,,,,,,,,,,,,,,,,,,
7,v31-151-1021(5%),Train,73.05174,2.222129489,,,,,,,,,,,,,,,,,,
8,v31-151-0025(5%),Train,75.97122,2.209237134,,,,,,,,,,,,,,,,,,
9,v22-301-1021(5%),Test,81.13863,-0.383288105,,,,,,,,,,,,,,,,,,
10,v22-301-1015 (5%),Train,81.85893,-0.694900511,,,,,,,,,,,,,,,,,,
11,v22-301-0025(5%),Train,86.88113,-0.395893964,,,,,,,,,,,,,,,,,,
12,v22-301-1015 (10%),Train,87.47633,-0.380104969,,,,,,,,,,,,,,,,,,
13,v22-301-0025(10%),Train,87.8963,-0.411545546,,,,,,,,,,,,,,,,,,
14,v22-301,Test,88.14097,-0.384880438,,,,,,,,,,,,,,,,,,
15,v22-301-0421 (10%),Train,89.95303,-0.352062726,,,,,,,,,,,,,,,,,,
16,v22-301-1021(10%),Train,91.91157,-0.386906823,,,,,,,,,,,,,,,,,,
17,v22-301-0421 (5%),Train,95.88955,-0.374294989,,,,,,,,,,,,,,,,,,
