name,1,2,3,4,5,6,7,8,,,,,NAME,MWC08,TIC1,PW5,,name,DMS-V31,DMS-V22,HMS-301,HMS-151,PMM-0025,PDM-0421,PMM-1015,PMM-1021,,MWC08-TIC1-PW5
v31-151-1021(10%),0.87,0,0,0.039,0,0,0,0.087,,,,,DMS-V31,15.69423167,3707.658961,0.124868844,,v31-151-1021(10%),0.87,0,0,0.039,0,0,0,0.087,32.78624364,32.78624344
v31-151-0421(10%),0.87,0,0,0.039,0,0.087,0,0,,,,,DMS-V22,13.35425416,857.4202708,0.0450709,,v31-151-0421(10%),0.87,0,0,0.039,0,0.087,0,0,32.78619837,32.78619766
v31-151-1015(10%),0.87,0,0,0.039,0,0,0.087,0,,,,,HMS-301,11.46685011,496.2906766,0.046514346,,v31-151-1015(10%),0.87,0,0,0.039,0,0,0.087,0,32.78594174,32.78594208
v31-151-0421(5%),0.91,0,0,0.042,0,0.045,0,0,,,,,HMS-151,11.61283415,490.4376896,0.044678266,,v31-151-0421(5%),0.91,0,0,0.042,0,0.045,0,0,34.88279598,34.88279724
v31-151-1015(5%),0.91,0,0,0.042,0,0,0.045,0,,,,,PMM-0025,11.77884494,498.5880797,0.106588316,,v31-151-1015(5%),0.91,0,0,0.042,0,0,0.045,0,34.88266324,34.88266373
v31-151-0025(10%),0.87,0,0,0.039,0.087,0,0,0,,,,,PDM-0421,12.76671362,1445.38228,0.05916,,v31-151-0025(10%),0.87,0,0,0.039,0.087,0,0,0,32.79032463,32.79032516
v31-151-,0.95,0,0,0.043,0,0,0,0,,,,,PMM-1015,12.5525624,1152.073978,0.056210208,,v31-151-,0.95,0,0,0.043,0,0,0,0,35.99834074,35.99834061
v31-151-1021(5%),0.91,0,0,0.042,0,0,0,0.045,,,,,PMM-1021,12.42138965,1007.391099,0.0596804,,v31-151-1021(5%),0.91,0,0,0.042,0,0,0,0.045,34.8828194,34.88282013
v31-151-0025(5%),0.91,0,0,0.042,0.045,0,0,0,,,,,,,,,,v31-151-0025(5%),0.91,0,0,0.042,0.045,0,0,0,34.88493026,34.88492966
v22-301-1021(5%),0,0.89,0.056,0,0,0,0,0.044,,,,,,,,,,v22-301-1021(5%),0,0.89,0.056,0,0,0,0,0.044,39.68019003,39.68019104
v22-301-1015 (5%),0,0.89,0.056,0,0,0,0.044,0,,,,,,,,,,v22-301-1015 (5%),0,0.89,0.056,0,0,0,0.044,0,37.67248046,39.68003845
v22-301-0025(5%),0,0.89,0.056,0,0.044,0,0,0,,,,,,,,,,v22-301-0025(5%),0,0.89,0.056,0,0.044,0,0,0,39.68225398,39.68225479
v22-301-1015 (10%),0,0.86,0.053,0,0,0,0.086,0,,,,,,,,,,v22-301-1015 (10%),0,0.86,0.053,0,0,0,0.086,0,37.79289852,37.79290009
v22-301-0025(10%),0,0.86,0.053,0,0.086,0,0,0,,,,,,,,,,v22-301-0025(10%),0,0.86,0.053,0,0.086,0,0,0,37.79723103,37.79722977
v22-301,0,0.94,0.058,0,0,0,0,0,,,,,,,,,,v22-301,0,0.94,0.058,0,0,0,0,0,41.33785815,41.33785629
v22-301-0421 (10%),0,0.86,0.053,0,0,0.086,0,0,,,,,,,,,,v22-301-0421 (10%),0,0.86,0.053,0,0,0.086,0,0,37.78806444,37.79315186
v22-301-1021(10%),0,0.86,0.053,0,0,0,0,0.086,,,,,,,,,,v22-301-1021(10%),0,0.86,0.053,0,0,0,0,0.086,37.79319695,37.79319763
v22-301-0421 (5%),0,0.89,0.056,0,0,0.044,0,0,,,,,,,,,,v22-301-0421 (5%),0,0.89,0.056,0,0,0.044,0,0,39.68016713,39.68016815
